salaryId,first_name,last_name,current_month,salary_payment_date,bonus_payment_date,remaining_payment_months
1,Thibaut,Fellows,Bedevilled (Kim Bok-nam salinsageonui jeonmal),2018/06/26,2018/08/23,9
2,Aldwin,Orhtmann,New Best Friend,2018/08/19,2019/06/27,12
3,Dennie,Le Houx,Five Easy Pieces,2018/12/08,2019/07/07,7
4,Cate,Cannam,"Transporter, The",2019/04/02,2018/11/27,7
5,Alisha,Creus,The Rebel,2019/05/29,2019/05/27,8
6,Mercy,Diggell,Dance of Outlaws (Häätanssi),2019/12/10,2020/01/10,10
7,Gaston,Sailes,Bachelor Night,2019/11/06,2018/07/15,12
8,Amaleta,MacGovern,Pokémon: The First Movie,2018/03/08,2019/01/10,3
9,Noby,Petrolli,"Thing, The",2018/05/11,2019/12/26,2
10,Erskine,Maidlow,Baby Mama,2019/12/30,2019/09/12,9
11,Tobye,Mortimer,Michael the Brave (Mihai Viteazul),2019/08/02,2019/01/31,1
12,Oralie,Adamo,Brainstorm,2018/07/21,2018/11/15,7
13,Austin,Jost,Victory (a.k.a. Escape to Victory),2019/04/22,2019/09/12,8
14,Leeland,Todeo,Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),2018/06/08,2019/11/11,6
15,Robena,Kopta,One in the Chamber,2019/06/15,2019/05/16,5
16,Elwin,Smeaton,"Glass Web, The",2018/06/20,2019/11/27,12
17,Theo,Willson,"Story of Women (Affaire de femmes, Une)",2019/01/25,2019/12/24,2
18,Justinian,Denisevich,Bloody Birthday,2019/03/15,2019/12/25,6
19,Aldrich,Manueau,"Clock, The",2018/08/05,2019/05/19,1
20,Shay,Gras,"Big House, The",2019/05/19,2019/11/25,4
21,Tim,Yakob,Cherry Tree Lane,2019/08/16,2018/02/24,11
22,King,Thomlinson,Jack and the Cuckoo-Clock Heart (Jack et la mécanique du coeur),2019/08/22,2018/05/01,2
23,Gillan,Bartrum,Bottled Up,2018/06/24,2018/04/08,4
24,Gusta,McKinnell,Skeleton Man,2018/08/14,2018/04/24,11
25,Nick,Matt,Tube Tales,2019/11/15,2019/01/20,4
26,Kacie,Jizhaki,"Killing Fields, The",2019/02/14,2018/12/12,7
27,Darby,Lebond,Nevada Smith,2019/10/08,2018/10/03,9
28,Orion,Laughnan,Star Trek VI: The Undiscovered Country,2018/11/03,2018/12/05,4
29,Leah,Blyth,Smokey and the Bandit III,2020/01/15,2018/03/23,10
30,Mirabelle,Guard,Murder on Flight 502,2019/01/12,2019/04/13,12
31,Kessiah,Ancliff,"Tall Guy, The",2018/03/26,2019/10/11,9
32,Nolie,Gundrey,"Phantom Carriage, The (Körkarlen)",2018/06/23,2019/01/15,4
33,Ardra,Vize,In Vogue: The Editor?s Eye,2019/07/19,2018/09/22,5
34,Shalna,Brambill,Proof,2019/03/12,2019/10/29,8
35,Bobbi,Menendes,Autómata (Automata),2018/12/16,2018/07/21,9
36,Codee,Clayfield,"End of Love, The",2019/05/26,2018/07/04,3
37,Markos,Elsbury,Water,2018/07/16,2019/03/06,7
38,Marlane,Stallibrass,Planet of the Apes,2019/03/31,2018/11/19,3
39,Humphrey,Hagwood,Anna Lucasta,2018/03/05,2019/08/07,6
40,Aube,Baldwin,Straightheads (Closure),2018/08/23,2018/03/10,4
41,Webb,Hullyer,Mamitas,2018/07/19,2018/08/07,7
42,Piggy,Theodore,Godzilla: Final Wars (Gojira: Fainaru uôzu),2018/07/31,2018/03/15,4
43,Vladamir,Laurentin,"Deadly Spawn, The",2018/04/17,2018/08/27,1
44,Jammie,Grigg,Dinner for Schmucks,2019/10/28,2019/01/23,5
45,Modestia,Naldrett,Bigfoot,2019/10/24,2018/06/11,1
46,Kathleen,Mariel,Gung Ho! (Gung Ho!: The Story of Carlson's Makin Island Raiders),2018/04/27,2020/02/11,3
47,Edith,Cuvley,Lambada,2018/06/13,2018/06/06,10
48,Burgess,Broxton,The Amazing Screw-On Head,2018/05/03,2019/09/11,3
49,Elaina,Gallaher,Mister Roberts,2018/09/09,2018/08/02,12
50,Samuel,Sachno,Palermo Shooting,2019/11/22,2018/04/10,5
51,Brnaba,Santhouse,"Next Stop, Greenwich Village",2020/01/10,2018/09/08,10
52,Cassondra,Packham,Lightning Bolt: The Power of Salad,2018/09/23,2019/12/07,9
53,Carson,Zoppie,Emotion,2018/04/03,2018/03/09,2
54,Quincy,Brickham,Love In the Time of Money,2019/12/15,2018/12/10,6
55,Babita,Alvaro,"Short Game, The",2018/05/12,2018/08/05,11
56,Morgan,Dome,Kinsey,2019/10/14,2018/11/29,3
57,Den,Ericsson,Attraction,2018/09/16,2019/11/04,7
58,Salvidor,Koop,Luster,2019/11/28,2019/08/08,7
59,Jennine,Le Merchant,Frozen,2019/06/22,2018/02/25,8
60,Tallie,Anchor,Northern Lights,2019/10/02,2018/04/04,10
61,Frieda,Allpress,Fancy Pants,2019/10/15,2019/03/05,11
62,Blake,Lyes,"ABCs of Death, The",2019/02/05,2018/12/02,9
63,Flory,Greenman,Cleanskin,2018/08/24,2019/12/01,6
64,Cazzie,Kermott,Salaam Namaste,2020/01/09,2019/01/22,1
65,Avictor,Parnby,America 3000,2019/02/11,2019/05/22,5
66,Tobin,Swynley,Winnie the Pooh and the Blustery Day,2019/05/03,2020/02/12,10
67,Merla,Gonzalvo,"Edward, My Son",2019/11/27,2018/03/22,9
68,Sanders,Prew,Poor Us: An Animated History of Poverty,2019/09/27,2019/07/05,11
69,Evelyn,Schutte,My Left Eye Sees Ghosts (Ngo joh aan gin diy gwai),2019/04/19,2018/09/10,11
70,Cass,Hakonsen,Diamond Men,2019/11/03,2018/04/19,6
71,Cammie,Raddan,Orphan,2019/04/24,2018/03/30,7
72,Andros,Walkden,Those Awful Hats,2019/07/09,2018/05/24,9
73,Hallie,Locket,Justice League: Doom ,2019/01/18,2019/09/26,7
74,Sherry,Tapner,Costa Brava,2020/01/02,2019/04/29,4
75,Roxy,Caig,Live Nude Girls Unite!,2018/03/03,2018/08/15,10
76,Lorilyn,Meaton,Finders Keepers,2019/04/04,2018/05/03,7
77,Cinda,Spinige,Operation Mad Ball,2019/07/28,2019/04/05,4
78,Kane,Kirkam,Métastases,2018/07/14,2019/03/09,1
79,Nataline,Darnell,Mum & Dad,2019/01/04,2019/12/07,6
80,Annmaria,Dawks,Bal (Honey),2018/08/18,2018/02/15,3
81,Braden,Dils,Monsters vs. Aliens,2019/06/19,2018/10/31,9
82,Florida,Astle,Hypocrites,2018/06/09,2019/09/03,11
83,Bella,Beales,"Diary of a Chambermaid (Journal d'une femme de chambre, Le)",2018/07/22,2018/05/22,8
84,Grove,McCorley,Ludwig,2019/05/24,2018/04/23,2
85,Olly,Booth-Jarvis,"Danse: The Paris Opera Ballet, La (La Danse - Le ballet de l'Opéra de Paris)",2020/02/08,2019/07/27,2
86,Eugine,Menelaws,The Hanoi Hilton,2018/07/14,2019/03/06,9
87,Ebeneser,Moulton,Bordertown,2018/06/11,2019/02/05,7
88,Ardys,Dyet,Me and you (io e te),2020/01/28,2019/07/15,2
89,Frederic,Bremmell,Some Days Are Better Than Others,2019/12/24,2019/07/18,3
90,Pavla,Gatley,Marie Krøyer,2018/07/31,2019/12/21,3
91,Seward,Roust,Criminal Lovers,2018/04/18,2019/04/29,4
92,Cathee,Lavielle,Kukuli,2019/12/05,2019/12/27,7
93,Linzy,Horley,Animal Factory,2020/01/11,2018/09/08,4
94,Kirk,Bier,How to Eat Your Watermelon in White Company (and Enjoy It),2019/08/31,2018/11/20,12
95,Waiter,Perroni,The Fox and the Hound 2,2019/12/27,2019/12/16,3
96,Tresa,Thompson,Outlaw Blues,2019/07/14,2019/05/26,2
97,Deny,Hazley,The Chumscrubber,2018/02/15,2019/04/20,3
98,Jelene,Taborre,"House of Rothschild, The",2019/10/28,2018/05/11,8
99,Joey,Strickett,Beauty and the Beast,2018/03/13,2020/01/08,4
100,Connie,Winspur,Live from Baghdad,2019/03/01,2019/05/09,11
